listing_id,source_url,listing_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model,trim,model_confidence,trim_confidence,exterior,interior,exterior_confidence,interior_confidence,source,source_confidence,total_options,total_options_value,total_options_msrp,options_categories,options_list
1,https://www.autotempest.com/results?keywords=black%20edition&localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/e976df74-a8de-4fd2-b91f-c9d0568ef9ac/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:49:03.844150,2025-09-01T14:49:03.908456,1.0,2012,1.0,"$42,997",1.0,"76,885",1.0,Cayman,Black Edition,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,3200,11435,"performance, exterior, appearance, comfort, technology, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Chrono Package Plus, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, BOSE Surround Sound, PCM w/ Navigation, Heated Seats"
2,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://privateauto.com/listing/2002-porsche-911-carrera-2-vwcxzudwhr8?utm_source=autotempest&utm_medium=referral&utm_campaign=autotempest_listings,2025-09-01T14:49:03.845159,2025-09-01T14:49:03.914042,0.625,2002,1.0,"$18,000",1.0,Unknown,0.0,911,Carrera,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,
3,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/listing/1999-porsche-911-962150?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_premium_classifieds,2025-09-01T14:49:03.846274,2025-09-01T14:49:03.914310,0.625,1999,1.0,Unknown,0.0,5,1.0,911,Carrera,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,
4,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/classifieds/listing/2001-porsche-911-glendale-ca-2857739?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_classifieds,2025-09-01T14:49:03.846381,2025-09-01T14:49:03.914458,0.5,2001,1.0,Unknown,0.0,Unknown,0.0,911,Turbo,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,
5,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/classifieds/listing/2001-porsche-911-huntington-station-ny-2793865?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_classifieds,2025-09-01T14:49:03.846466,2025-09-01T14:49:03.914639,0.5,2001,1.0,Unknown,0.0,Unknown,0.0,911,Base,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,
6,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/78a20302-90d1-4c92-ba3f-fc583453252d/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:49:03.846547,2025-09-01T14:49:03.914867,1.0,2000,1.0,"$17,997",1.0,"74,607",1.0,911,Carrera,1.0,1.0,Arctic Silver Metallic,Black,1.0,1.0,AutoTempest,1.0,0,1950,6885,"performance, exterior, appearance, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats"
7,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/397e250e-4f07-4031-a543-b31eb66487ea/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:49:03.846641,2025-09-01T14:49:03.938182,1.0,1999,1.0,"$16,890",1.0,"144,838",1.0,911,Carrera,1.0,1.0,Blue,Black,1.0,1.0,AutoTempest,1.0,0,2250,8235,"performance, exterior, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound"
8,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/8a27f593-5dac-453f-be09-e0ec73f2a925/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:49:03.846732,2025-09-01T14:49:03.960626,1.0,2003,1.0,"$31,998",1.0,"103,487",1.0,911,Carrera,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,1450,5360,"performance, exterior, appearance","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel"
9,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/dc388c59-019a-443c-84e4-c333179fcf69/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:49:03.846834,2025-09-01T14:49:03.983039,1.0,2004,1.0,"$34,900",1.0,"56,959",1.0,911,Carrera,1.0,1.0,Seal Gray Metallic,Graphite Gray,1.0,1.0,AutoTempest,1.0,0,1950,6885,"performance, exterior, appearance, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats"
10,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/classifieds/listing/2004-porsche-911-west-okoboji-ia-2774673?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_classifieds,2025-09-01T14:49:03.846918,2025-09-01T14:49:04.005386,0.5,2004,1.0,Unknown,0.0,Unknown,0.0,911,Base,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,
11,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/5b8b1176-3af8-4a85-b8ce-7c309c9e1c26/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:49:03.847104,2025-09-01T14:49:04.005518,1.0,2003,1.0,"$53,950",1.0,"38,732",1.0,911,Carrera,1.0,1.0,Midnite Blue Clearcoat Metallic,SUPPLE ASH GREY,1.0,1.0,AutoTempest,1.0,0,1450,5360,"performance, exterior, appearance, comfort","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor"
12,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/715969b3-5a94-4597-9ba4-8a09b0bf63de/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:49:03.847349,2025-09-01T14:49:04.028741,1.0,1999,1.0,"$16,995",1.0,"165,980",1.0,911,Carrera,1.0,1.0,Black,Beige,1.0,1.0,AutoTempest,1.0,0,1950,6885,"performance, exterior, appearance, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats"
13,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/30aa085d-2a13-4b2e-bdb7-9247b36619ce/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:49:03.847448,2025-09-01T14:49:04.047091,1.0,2004,1.0,"$58,000",1.0,"55,344",1.0,911,Carrera,1.0,1.0,Gray,Metropol Blue,1.0,1.0,AutoTempest,1.0,0,1600,5860,"performance, exterior, appearance, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Heated Seats"
14,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/55b08b12-fdae-4590-9560-4490e236df7c/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:49:03.847546,2025-09-01T14:49:04.066371,1.0,2004,1.0,"$48,995",1.0,"40,202",1.0,911,Carrera,1.0,1.0,Arctic Silver Metallic,Black,1.0,1.0,AutoTempest,1.0,0,2200,10475,"performance, exterior, appearance, comfort, technology, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, BOSE Surround Sound, PCM w/ Navigation, Heated Seats"
15,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/e66ef111-a6b3-4f1c-b9f6-253a0698cc40/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:49:03.847634,2025-09-01T14:49:04.082902,1.0,2000,1.0,"$24,500",1.0,"92,062",1.0,911,Carrera,1.0,1.0,Ocean Blue Metallic,Black,1.0,1.0,AutoTempest,1.0,0,2100,7385,"performance, exterior, appearance, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, Heated Seats"
16,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/15fbd966-4f45-4aac-82b1-b9c4869c1904/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:49:03.847739,2025-09-01T14:49:04.101526,1.0,2004,1.0,"$34,998",1.0,"32,139",1.0,911,Carrera,1.0,1.0,Carmon Red Metallic,Savanna Beige,1.0,1.0,AutoTempest,1.0,0,1350,4875,"exterior, appearance, seating, technology","18–19"" Upgraded Wheels, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, Heated Seats"
