listing_id,source_url,listing_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model_trim,model_trim_confidence,exterior_color,interior_color,exterior_color_confidence,interior_color_confidence,source,source_confidence,total_options,total_options_value,options_categories,options_list,fair_value_usd,fair_value_calculation,asking_price_usd,deal_delta_usd,deal_percentage,deal_quality
1,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/1e0d4384-98c4-4bbb-9147-31251e4c610a/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T16:02:27.553912,2025-08-26T16:02:27.577529,1.0,2010,1.0,"$24,998",1.0,"105,449",1.0,Cayman Base,1.0,White,Terracotta,1.0,1.0,AutoTempest,1.0,0,850,"seating, technology, exterior","Heated Seats, PCM w/ Navigation, 18–19"" Upgraded Wheels",30200,"{'base_value': 30500, 'year_adjustment': 1000, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 200, 'calculation_timestamp': '2025-08-26T16:02:27.807046'}",24998,5202,17.225165562913908,Excellent Deal
2,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/20c1de27-55a3-489e-95bd-eca9aae7ff0b/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T16:02:27.554961,2025-08-26T16:02:27.583817,1.0,2010,1.0,"$29,999",1.0,"52,992",1.0,Cayman Base,1.0,White,Tan,1.0,1.0,AutoTempest,1.0,0,550,"seating, exterior","Heated Seats, 18–19"" Upgraded Wheels",31200,"{'base_value': 30500, 'year_adjustment': 1000, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-08-26T16:02:27.807197'}",29999,1201,3.849358974358975,Excellent Deal
3,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/b2b31298-3bfc-467c-8019-00ea77bd05e0/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T16:02:27.555119,2025-08-26T16:02:27.588035,1.0,2009,1.0,"$35,995",1.0,"56,417",1.0,Cayman S,1.0,Arctic Silver Metallic,Black,1.0,1.0,AutoTempest,1.0,0,1950,"exterior, performance, seating","Bi-Xenon Headlights with Dynamic Cornering, Sport Exhaust (PSE), Sport Seats / Adaptive Sport Seats, 18–19"" Upgraded Wheels",31700,"{'base_value': 30500, 'year_adjustment': 1500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-08-26T16:02:27.807325'}",35995,-4295,-13.548895899053628,Overpriced
4,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/e976df74-a8de-4fd2-b91f-c9d0568ef9ac/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T16:02:27.555311,2025-08-26T16:02:27.610512,1.0,2012,1.0,"$42,997",1.0,"76,885",1.0,Cayman Black Edition,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,3200,"exterior, technology, seating, performance","Bi-Xenon Headlights with Dynamic Cornering, BOSE Surround Sound, Heated Seats, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE), 18–19"" Upgraded Wheels",29500,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 500, 'calculation_timestamp': '2025-08-26T16:02:27.807437'}",42997,-13497,-45.75254237288136,Overpriced
5,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/7d2807e2-6030-4e66-a677-f3206e5649f1/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T16:02:27.555438,2025-08-26T16:02:27.625893,1.0,2009,1.0,"$36,981",1.0,"35,027",1.0,Cayman Base,1.0,Arctic Silver Metallic,Black,1.0,1.0,AutoTempest,1.0,0,1150,"exterior, seating","Bi-Xenon Headlights with Dynamic Cornering, Sport Seats / Adaptive Sport Seats, 18–19"" Upgraded Wheels",32200,"{'base_value': 30500, 'year_adjustment': 1500, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 200, 'calculation_timestamp': '2025-08-26T16:02:27.807531'}",36981,-4781,-14.847826086956523,Overpriced
6,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/4666f3db-52a0-48cc-a64f-23f3b4e386e8/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T16:02:27.555561,2025-08-26T16:02:27.635756,1.0,2009,1.0,"$32,996",1.0,"111,502",1.0,Cayman S,1.0,Malachite Green Metallic,Sand Beige,1.0,1.0,AutoTempest,1.0,0,2250,"exterior, technology, performance, seating","Bi-Xenon Headlights with Dynamic Cornering, PCM w/ Navigation, Sport Exhaust (PSE), Sport Seats / Adaptive Sport Seats, 18–19"" Upgraded Wheels",30500,"{'base_value': 30500, 'year_adjustment': 1500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T16:02:27.807606'}",32996,-2496,-8.183606557377049,Overpriced
7,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/8f4b448f-0a97-41e9-8628-515fda6e1d0e/?aff=atempst&utm_campaign=atempst&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T16:02:27.555673,2025-08-26T16:02:27.654499,1.0,2009,1.0,"$37,995",1.0,"67,530",1.0,Cayman S,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,1100,"technology, performance","PCM w/ Navigation, Sport Exhaust (PSE)",32000,"{'base_value': 30500, 'year_adjustment': 1500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 500, 'calculation_timestamp': '2025-08-26T16:02:27.807696'}",37995,-5995,-18.734375,Overpriced
8,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/2738b48e-d554-46d4-9dcb-6dc19190d563/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T16:02:27.555799,2025-08-26T16:02:27.657156,0.5714285714285714,2009,1.0,"$35,000",1.0,Unknown,0.0,Cayman S,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,,32000,"{'base_value': 30500, 'year_adjustment': 1500, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T16:02:27.807772'}",35000,-3000,-9.375,Overpriced
9,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/95ccdfb3-fefa-460a-8116-b971133af8c3/?aff=atempst&utm_campaign=atempst&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T16:02:27.556769,2025-08-26T16:02:27.657439,1.0,2009,1.0,"$32,987",1.0,"92,500",1.0,Cayman S,1.0,Silver,Beige,1.0,1.0,AutoTempest,1.0,0,1950,"exterior, technology, performance","Bi-Xenon Headlights with Dynamic Cornering, PCM w/ Navigation, Sport Chrono Package Plus, 18–19"" Upgraded Wheels",30500,"{'base_value': 30500, 'year_adjustment': 1500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T16:02:27.807877'}",32987,-2487,-8.154098360655738,Overpriced
10,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.carvana.com/vehicle/lt/3775010?utm_source=autotempest&utm_medium=3rd-party-listing&utm_campaign=new-vdp&utm_content=3_20250826_3896393,2025-08-26T16:02:27.556909,2025-08-26T16:02:27.660779,0.42857142857142855,2012,1.0,Unknown,0.0,Unknown,0.0,Cayman Base,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,,30500,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T16:02:27.807989'}",,,,Unknown
11,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.ebay.com/itm/376487964262?hash=item57a86e6e66%3Ag%3AkE4AAeSw8RloegD7&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2025-08-26T16:02:27.557044,2025-08-26T16:02:27.660945,0.42857142857142855,2010,1.0,Unknown,0.0,Unknown,0.0,Cayman 2,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,,31500,"{'base_value': 30500, 'year_adjustment': 1000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T16:02:27.808114'}",,,,Unknown
12,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0AB2A88BU780243/?referrer_id=autotempest,2025-08-26T16:02:27.557162,2025-08-26T16:02:27.661091,1.0,2011,1.0,"$44,973",1.0,"71,161",1.0,Cayman S,1.0,Gray,Black,1.0,1.0,AutoTempest,1.0,0,300,technology,BOSE Surround Sound,30700,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-08-26T16:02:27.808264'}",44973,-14273,-46.49185667752443,Overpriced
13,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/dccb8902-a155-44e3-bf33-6f563cb8bb77/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T16:02:27.557402,2025-08-26T16:02:27.663009,1.0,2012,1.0,"$29,900",1.0,"86,375",1.0,Boxster S,1.0,Aqua Blue Metallic,TAN,1.0,1.0,AutoTempest,1.0,0,3600,"exterior, technology, seating, performance, convenience","Bi-Xenon Headlights with Dynamic Cornering, BOSE Surround Sound, Heated Seats, Limited Slip Differential (LSD), Park Assist, PCM w/ Navigation, Sport Exhaust (PSE), 18–19"" Upgraded Wheels",29000,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T16:02:27.808371'}",29900,-900,-3.103448275862069,Fair Price
14,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/bd944391-c66a-48cc-956e-deb2de745d0a/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T16:02:27.557606,2025-08-26T16:02:27.679006,1.0,2011,1.0,"$19,997",1.0,"82,539",1.0,Boxster Base,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,1450,"exterior, technology, seating","Bi-Xenon Headlights with Dynamic Cornering, PCM w/ Navigation, Sport Seats / Adaptive Sport Seats, 18–19"" Upgraded Wheels",30000,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 500, 'calculation_timestamp': '2025-08-26T16:02:27.808515'}",19997,10003,33.343333333333334,Excellent Deal
15,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.ebay.com/itm/226919231938?hash=item34d570b1c2%3Ag%3AHkEAAOSwieBnwMmU&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2025-08-26T16:02:27.557763,2025-08-26T16:02:27.689145,0.42857142857142855,2010,1.0,Unknown,0.0,Unknown,0.0,Cayman Base,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,,31500,"{'base_value': 30500, 'year_adjustment': 1000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T16:02:27.808582'}",,,,Unknown
