source_url,option_id,option_display,option_value,option_confidence,detection_timestamp
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PASM,PASM,800,1.0,2025-08-25T22:22:09.721492
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,639/640,Sport Chrono Package Plus,1000,1.0,2025-08-25T22:22:09.721492
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PSE,Sport Exhaust (PSE),800,1.0,2025-08-25T22:22:09.721492
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PASM,PASM,800,1.0,2025-08-25T22:22:09.722418
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,639/640,Sport Chrono Package Plus,1000,1.0,2025-08-25T22:22:09.722418
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PSE,Sport Exhaust (PSE),800,1.0,2025-08-25T22:22:09.722418
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PASM,PASM,800,1.0,2025-08-25T22:22:09.723291
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,639/640,Sport Chrono Package Plus,1000,1.0,2025-08-25T22:22:09.723291
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PSE,Sport Exhaust (PSE),800,1.0,2025-08-25T22:22:09.723291
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PASM,PASM,800,1.0,2025-08-25T22:22:09.724174
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,639/640,Sport Chrono Package Plus,1000,1.0,2025-08-25T22:22:09.724174
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PSE,Sport Exhaust (PSE),800,1.0,2025-08-25T22:22:09.724174
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PASM,PASM,800,1.0,2025-08-25T22:22:09.725019
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,639/640,Sport Chrono Package Plus,1000,1.0,2025-08-25T22:22:09.725019
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PSE,Sport Exhaust (PSE),800,1.0,2025-08-25T22:22:09.725019
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PASM,PASM,800,1.0,2025-08-25T22:22:09.725908
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,639/640,Sport Chrono Package Plus,1000,1.0,2025-08-25T22:22:09.725908
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PSE,Sport Exhaust (PSE),800,1.0,2025-08-25T22:22:09.725908
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PASM,PASM,800,1.0,2025-08-25T22:22:09.726780
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,639/640,Sport Chrono Package Plus,1000,1.0,2025-08-25T22:22:09.726780
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PSE,Sport Exhaust (PSE),800,1.0,2025-08-25T22:22:09.726780
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PASM,PASM,800,1.0,2025-08-25T22:22:09.727662
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,639/640,Sport Chrono Package Plus,1000,1.0,2025-08-25T22:22:09.727662
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PSE,Sport Exhaust (PSE),800,1.0,2025-08-25T22:22:09.727662
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PASM,PASM,800,1.0,2025-08-25T22:22:09.728550
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,639/640,Sport Chrono Package Plus,1000,1.0,2025-08-25T22:22:09.728550
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PSE,Sport Exhaust (PSE),800,1.0,2025-08-25T22:22:09.728550
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PASM,PASM,800,1.0,2025-08-25T22:22:09.729419
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,639/640,Sport Chrono Package Plus,1000,1.0,2025-08-25T22:22:09.729419
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,PSE,Sport Exhaust (PSE),800,1.0,2025-08-25T22:22:09.729419
