listing_id,source_url,listing_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model,trim,model_confidence,trim_confidence,exterior,interior,exterior_confidence,interior_confidence,source,source_confidence,total_options,total_options_value,total_options_msrp,options_categories,options_list,fair_value_usd,fair_value_calculation,asking_price_usd,deal_delta_usd,deal_percentage,deal_quality,composite_score,ranking_timestamp,rank
42,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.ebay.com/itm/376515195956?hash=item57aa0df434%3Ag%3AymEAAeSwPRZosh1N&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2025-09-01T14:59:27.366065,2025-09-01T14:59:28.051853,1.0,2017,1.0,"$5,000",1.0,"58,988",1.0,Macan,Turbo,1.0,1.0,Gray,Red,1.0,1.0,AutoTempest,1.0,0,0,0,,,27800,"{'base_value': 30500, 'year_adjustment': -2500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 300, 'calculation_timestamp': '2025-09-01T14:59:28.075350'}",5000,22800,82.01438848920863,Excellent Deal,2304.2712,2025-09-01T14:59:28.081542,1
16,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/9e1644ec-7e6b-4334-bb3f-7a01e531ba9b/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362679,2025-09-01T14:59:27.654964,1.0,2017,1.0,"$26,996",1.0,"69,747",1.0,Macan,GTS,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,4600,12145,"performance, exterior, convenience, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, Heated Seats, PASM",28000,"{'base_value': 30500, 'year_adjustment': -2500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 500, 'calculation_timestamp': '2025-09-01T14:59:28.075087'}",26996,1004,3.585714285714286,Excellent Deal,123.59530000000001,2025-09-01T14:59:28.081435,2
35,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/eb0467dd-2b8d-4fd7-9325-a5283355b9dd/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.364736,2025-09-01T14:59:28.007793,1.0,2017,1.0,"$27,394",1.0,"66,521",1.0,Macan,GTS,1.0,1.0,Rhodium Silver Metallic,Black,1.0,1.0,AutoTempest,1.0,0,4600,12145,"performance, exterior, convenience, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, Heated Seats, PASM",27700,"{'base_value': 30500, 'year_adjustment': -2500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-09-01T14:59:28.075278'}",27394,306,1.1046931407942238,Good Deal,54.117900000000006,2025-09-01T14:59:28.081515,3
20,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/05666328-f66b-44f6-879b-c69d6f355184/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.363600,2025-09-01T14:59:27.736963,1.0,2017,1.0,"$27,695",1.0,"69,077",1.0,Macan,GTS,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,2200,9965,"exterior, appearance, technology, seating, performance","Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",28000,"{'base_value': 30500, 'year_adjustment': -2500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 500, 'calculation_timestamp': '2025-09-01T14:59:28.075128'}",27695,305,1.0892857142857144,Good Deal,53.7623,2025-09-01T14:59:28.081454,4
51,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP1AG2A54HLB54127/?referrer_id=autotempest,2025-09-01T14:59:27.366792,2025-09-01T14:59:28.065885,1.0,2017,1.0,"$28,700",1.0,"69,758",1.0,Macan,GTS,1.0,1.0,Gray,Black,1.0,1.0,AutoTempest,1.0,0,1000,2520,"convenience, performance","Park Assist, PASM",27700,"{'base_value': 30500, 'year_adjustment': -2500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-09-01T14:59:28.075436'}",28700,-1000,-3.6101083032490973,Overpriced,-76.8058,2025-09-01T14:59:28.081578,9
4,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/75f17803-a4ab-49bc-8dd0-df8c67dbc3b2/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.360489,2025-09-01T14:59:27.440828,1.0,2017,1.0,"$29,000",1.0,"65,394",1.0,Macan,GTS,1.0,1.0,Agate Grey Metallic,Black,1.0,1.0,AutoTempest,1.0,0,3850,11550,"exterior, performance, convenience, appearance, seating, technology","18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",27700,"{'base_value': 30500, 'year_adjustment': -2500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-09-01T14:59:28.074963'}",29000,-1300,-4.693140794223827,Overpriced,-106.3694,2025-09-01T14:59:28.081378,10
9,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/87f8665f-1639-4b65-9c95-ace6188c2a64/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362102,2025-09-01T14:59:27.527463,1.0,2018,1.0,"$29,077",1.0,"61,420",1.0,Macan,GTS,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,4300,10795,"performance, exterior, convenience, appearance, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, Heated Seats, PASM",27500,"{'base_value': 30500, 'year_adjustment': -3000, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 500, 'calculation_timestamp': '2025-09-01T14:59:28.075017'}",29077,-1577,-5.734545454545454,Overpriced,-133.662,2025-09-01T14:59:28.081397,11
14,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/d58449f2-c970-4702-8559-c9539a72a89d/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362518,2025-09-01T14:59:27.612474,1.0,2017,1.0,"$29,525",1.0,"67,582",1.0,Macan,GTS,1.0,1.0,White,Black,1.0,1.0,AutoTempest,1.0,0,4900,15410,"performance, exterior, convenience, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",27900,"{'base_value': 30500, 'year_adjustment': -2500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 400, 'calculation_timestamp': '2025-09-01T14:59:28.075067'}",29525,-1625,-5.824372759856631,Overpriced,-139.08819999999997,2025-09-01T14:59:28.081426,12
46,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP1AG2A57HLB51450/?referrer_id=autotempest,2025-09-01T14:59:27.366412,2025-09-01T14:59:28.057185,1.0,2017,1.0,"$29,442",1.0,"51,557",1.0,Macan,GTS,1.0,1.0,Gray,Black,1.0,1.0,AutoTempest,1.0,0,1000,2520,"convenience, performance","Park Assist, PASM",27700,"{'base_value': 30500, 'year_adjustment': -2500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-09-01T14:59:28.075390'}",29442,-1742,-6.2888086642599275,Overpriced,-149.18570000000003,2025-09-01T14:59:28.081559,13
17,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/d7623d6b-c854-4b42-bbb3-425461f23f93/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.363353,2025-09-01T14:59:27.677215,1.0,2017,1.0,"$29,995",1.0,"68,627",1.0,Macan,GTS,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,4100,13420,"performance, exterior, convenience, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",28000,"{'base_value': 30500, 'year_adjustment': -2500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 500, 'calculation_timestamp': '2025-09-01T14:59:28.075096'}",29995,-1995,-7.124999999999999,Overpriced,-176.19269999999997,2025-09-01T14:59:28.081439,14
15,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/0c19c35e-7779-4d08-9929-c143cc2ee3c0/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362595,2025-09-01T14:59:27.631828,1.0,2017,1.0,"$29,995",1.0,"64,440",1.0,Macan,GTS,1.0,1.0,White,White,1.0,1.0,AutoTempest,1.0,0,3500,8805,"performance, exterior, convenience, appearance, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, Heated Seats",27700,"{'base_value': 30500, 'year_adjustment': -2500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-09-01T14:59:28.075077'}",29995,-2295,-8.28519855595668,Overpriced,-205.77399999999997,2025-09-01T14:59:28.081431,15
