listing_id,source_url,listing_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model,trim,model_confidence,trim_confidence,exterior,interior,exterior_confidence,interior_confidence,source,source_confidence,total_options,total_options_value,total_options_msrp,options_categories,options_list,fair_value_usd,fair_value_calculation,asking_price_usd,deal_delta_usd,deal_percentage,deal_quality,composite_score,ranking_timestamp,rank
55,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/481796d6-14d6-40f8-a65e-3f39d6181200/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:49:03.852190,2025-09-01T14:49:04.818167,0.875,2001,1.0,"$12,750",1.0,0,1.0,911,Carrera,1.0,1.0,Polar Silver Metallic,Unknown,1.0,0.0,AutoTempest,1.0,0,2200,10475,"performance, exterior, appearance, technology, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",36000,"{'base_value': 30500, 'year_adjustment': 5500, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T14:49:04.906909'}",12750,23250,64.58333333333334,Excellent Deal,2355.01,2025-09-01T14:49:04.916674,2
2,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://privateauto.com/listing/2002-porsche-911-carrera-2-vwcxzudwhr8?utm_source=autotempest&utm_medium=referral&utm_campaign=autotempest_listings,2025-09-01T14:49:03.845159,2025-09-01T14:49:03.914042,0.625,2002,1.0,"$18,000",1.0,Unknown,0.0,911,Carrera,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,,35500,"{'base_value': 30500, 'year_adjustment': 5000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T14:49:04.906409'}",18000,17500,49.29577464788733,Excellent Deal,1770.02,2025-09-01T14:49:04.916418,8
10,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/classifieds/listing/2004-porsche-911-west-okoboji-ia-2774673?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_classifieds,2025-09-01T14:49:03.846918,2025-09-01T14:49:04.005386,0.5,2004,1.0,Unknown,0.0,Unknown,0.0,911,Base,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,,34500,"{'base_value': 30500, 'year_adjustment': 4000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T14:49:04.906501'}",,,,Unknown,20.04,2025-09-01T14:49:04.916497,60
4,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/classifieds/listing/2001-porsche-911-glendale-ca-2857739?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_classifieds,2025-09-01T14:49:03.846381,2025-09-01T14:49:03.914458,0.5,2001,1.0,Unknown,0.0,Unknown,0.0,911,Turbo,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,,36000,"{'base_value': 30500, 'year_adjustment': 5500, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T14:49:04.906448'}",,,,Unknown,20.01,2025-09-01T14:49:04.916427,61
5,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/classifieds/listing/2001-porsche-911-huntington-station-ny-2793865?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_classifieds,2025-09-01T14:49:03.846466,2025-09-01T14:49:03.914639,0.5,2001,1.0,Unknown,0.0,Unknown,0.0,911,Base,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,,36000,"{'base_value': 30500, 'year_adjustment': 5500, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T14:49:04.906456'}",,,,Unknown,20.01,2025-09-01T14:49:04.916431,62
99,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://details.vast.com/details/cars/ob-980c9cce91c3807e4ce3309b9549d11b960be68518c695070ce86dc4ca2c7076d44e995510de6d517ce761ef48f0ff406bf26f82a637df6dbf6160746a741de2cbd2adfccaf5dae6909c4292c19fc073765ebe9c03fd4019be1167366136b16f03810817f49e3ee9d193ae551d367775c732ad3415884060825276cd7680f8faa7ed5e6dba59452436cae46fcdb68135b47af191a980f2a963cf42b02a815fca80fd0c366ff46a6599fa98f7c46b42d5/?pl=0,2025-09-01T14:49:03.857662,2025-09-01T14:49:04.897753,0.25,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,Base,0.0,0.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,,30500,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T14:49:04.907302'}",,,,Unknown,0.0,2025-09-01T14:49:04.916843,64
100,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://details.vast.com/details/cars/ob-980c9cce91c3807e4ce3309b9549d11b960be68518c695070ce86dc4ca2c7076d44e995510de6d517ce761ef48f0ff406bf26f82a637df6dbf6160746a741de2a8a1e628f3c2fa91d85c0234e32fa485ab0e5773dc31a557a4bd39b35330ff6f03810817f49e3ee9d193ae551d367775e3c0baaff1464c3b6d5eecd89648ee93a7ed5e6dba59452436cae46fcdb68135b47af191a980f2a963cf42b02a815fca80fd0c366ff46a6599fa98f7c46b42d5/?pl=0,2025-09-01T14:49:03.857704,2025-09-01T14:49:04.897809,0.25,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,Base,0.0,0.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,,30500,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T14:49:04.907308'}",,,,Unknown,0.0,2025-09-01T14:49:04.916847,65
3,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/listing/1999-porsche-911-962150?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_premium_classifieds,2025-09-01T14:49:03.846274,2025-09-01T14:49:03.914310,0.625,1999,1.0,Unknown,0.0,5,1.0,911,Carrera,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,,38000,"{'base_value': 30500, 'year_adjustment': 6500, 'model_premium': 0, 'mileage_adjustment': 1000, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T14:49:04.906439'}",,,,Unknown,29.989500000000003,2025-09-01T14:49:04.916424,59
93,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CB29954S676880/?referrer_id=autotempest,2025-09-01T14:49:03.857083,2025-09-01T14:49:04.888529,1.0,2004,1.0,"$117,795",1.0,"8,359",1.0,911,Turbo,1.0,1.0,Midnight Blue Metallic,Black,1.0,1.0,AutoTempest,1.0,0,300,1350,"comfort, technology","Auto-dim Mirrors & Rain Sensor, BOSE Surround Sound",35700,"{'base_value': 30500, 'year_adjustment': 4000, 'model_premium': 0, 'mileage_adjustment': 1000, 'color_premium': 200, 'calculation_timestamp': '2025-09-01T14:49:04.907245'}",117795,-82095,-229.9579831932773,Overpriced,-8180.2959,2025-09-01T14:49:04.916817,100
81,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0AB29982S687523/?referrer_id=autotempest,2025-09-01T14:49:03.856042,2025-09-01T14:49:04.869746,1.0,2002,1.0,"$105,980",1.0,"18,854",1.0,911,Turbo,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,300,1350,technology,BOSE Surround Sound,37000,"{'base_value': 30500, 'year_adjustment': 5000, 'model_premium': 0, 'mileage_adjustment': 1000, 'color_premium': 500, 'calculation_timestamp': '2025-09-01T14:49:04.907141'}",105980,-68980,-186.43243243243245,Overpriced,-6869.8654,2025-09-01T14:49:04.916774,99
