listing_id,source_url,listing_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model_trim,model_trim_confidence,exterior_color,interior_color,exterior_color_confidence,interior_color_confidence,source,source_confidence,total_options,total_options_value,options_categories,options_list,fair_value_usd,fair_value_calculation,asking_price_usd,deal_delta_usd,deal_percentage,deal_quality,composite_score,ranking_timestamp,rank
10,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.ebay.com/itm/306463169067?hash=item475aa0da2b%3Ag%3ABv4AAOSwQS9oWly0&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2025-08-26T15:46:39.393882,2025-08-26T15:46:39.531728,0.14285714285714285,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,,30500,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T15:46:39.539083'}",,,,Unknown,0.0,2025-08-26T15:46:39.542072,5
11,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CB2A85BS730081/?referrer_id=autotempest,2025-08-26T15:46:39.394737,2025-08-26T15:46:39.531805,0.14285714285714285,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,,30500,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T15:46:39.539149'}",,,,Unknown,0.0,2025-08-26T15:46:39.542075,6
12,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CA29899U710776/?referrer_id=autotempest,2025-08-26T15:46:39.394840,2025-08-26T15:46:39.531900,0.14285714285714285,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,,30500,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T15:46:39.539225'}",,,,Unknown,0.0,2025-08-26T15:46:39.542077,7
13,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CA2A84AS710096/?referrer_id=autotempest,2025-08-26T15:46:39.394944,2025-08-26T15:46:39.531980,0.14285714285714285,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,,30500,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T15:46:39.539292'}",,,,Unknown,0.0,2025-08-26T15:46:39.542080,8
14,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CB2A87AS730095/?referrer_id=autotempest,2025-08-26T15:46:39.395031,2025-08-26T15:46:39.532065,0.14285714285714285,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,,30500,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T15:46:39.539369'}",,,,Unknown,0.0,2025-08-26T15:46:39.542082,9
15,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CB298X9U730175/?referrer_id=autotempest,2025-08-26T15:46:39.395103,2025-08-26T15:46:39.532177,0.14285714285714285,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,,30500,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T15:46:39.539436'}",,,,Unknown,0.0,2025-08-26T15:46:39.542085,10
16,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.autotempest.com//www.autotempest.com/details/vast-7419201592332622812,2025-08-26T15:46:39.395201,2025-08-26T15:46:39.532273,0.14285714285714285,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,,30500,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T15:46:39.539516'}",,,,Unknown,0.0,2025-08-26T15:46:39.542087,11
8,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/5478a97d-5d9b-4b8c-9063-147503a1631e/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T15:46:39.393404,2025-08-26T15:46:39.508401,1.0,2010,1.0,"$17,987",1.0,"116,045",1.0,Boxster Base,1.0,Silver,Black,1.0,1.0,AutoTempest,1.0,0,2400,"exterior, technology, seating, performance","Bi-Xenon Headlights with Dynamic Cornering, BOSE Surround Sound, Heated Seats, Sport Exhaust (PSE), Sport Seats / Adaptive Sport Seats, 18–19"" Upgraded Wheels",30200,"{'base_value': 30500, 'year_adjustment': 1000, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 200, 'calculation_timestamp': '2025-08-26T15:46:39.538869'}",17987,12213,40.44039735099338,Excellent Deal,1239.7955,2025-08-26T15:46:39.542066,1
7,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/571de632-1f0c-428d-808c-a1e93e992e13/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T15:46:39.393169,2025-08-26T15:46:39.489792,1.0,2012,1.0,"$19,499",1.0,"105,081",1.0,Boxster Base,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,2400,"exterior, seating, technology, performance","Bi-Xenon Headlights with Dynamic Cornering, Heated Seats, PCM w/ Navigation, Sport Exhaust (PSE), Sport Seats / Adaptive Sport Seats, 18–19"" Upgraded Wheels",29500,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 500, 'calculation_timestamp': '2025-08-26T15:46:39.538733'}",19499,10001,33.90169491525424,Excellent Deal,1019.7119,2025-08-26T15:46:39.542062,3
1,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/bd944391-c66a-48cc-956e-deb2de745d0a/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T15:46:39.391238,2025-08-26T15:46:39.411902,1.0,2011,1.0,"$19,997",1.0,"82,539",1.0,Boxster Base,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,700,"technology, exterior","PCM w/ Navigation, 18–19"" Upgraded Wheels",30000,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 500, 'calculation_timestamp': '2025-08-26T15:46:39.537707'}",19997,10003,33.343333333333334,Excellent Deal,1022.1561,2025-08-26T15:46:39.542034,2
