listing_id,source_url,listing_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model,trim,model_confidence,trim_confidence,exterior,interior,exterior_confidence,interior_confidence,source,source_confidence,total_options,total_options_value,total_options_msrp,options_categories,options_list,fair_value_usd,fair_value_calculation,asking_price_usd,deal_delta_usd,deal_percentage,deal_quality,composite_score,ranking_timestamp,rank
3,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/listing/1999-porsche-911-962150?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_premium_classifieds,2025-09-01T00:12:02.476627,2025-09-01T00:12:02.507976,0.625,1999,1.0,Unknown,0.0,5,1.0,911,Carrera,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,,38000,"{'base_value': 30500, 'year_adjustment': 6500, 'model_premium': 0, 'mileage_adjustment': 1000, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T00:12:03.223527'}",,,,Unknown,29.989500000000003,2025-09-01T00:12:03.235510,57
10,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/classifieds/listing/2004-porsche-911-west-okoboji-ia-2774673?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_classifieds,2025-09-01T00:12:02.477351,2025-09-01T00:12:02.574167,0.5,2004,1.0,Unknown,0.0,Unknown,0.0,911,Base,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,,34500,"{'base_value': 30500, 'year_adjustment': 4000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T00:12:03.223615'}",,,,Unknown,20.04,2025-09-01T00:12:03.235537,58
4,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/classifieds/listing/2001-porsche-911-glendale-ca-2857739?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_classifieds,2025-09-01T00:12:02.476728,2025-09-01T00:12:02.508058,0.5,2001,1.0,Unknown,0.0,Unknown,0.0,911,Turbo,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,,36000,"{'base_value': 30500, 'year_adjustment': 5500, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T00:12:03.223537'}",,,,Unknown,20.01,2025-09-01T00:12:03.235514,59
5,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/classifieds/listing/2001-porsche-911-huntington-station-ny-2793865?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_classifieds,2025-09-01T00:12:02.476810,2025-09-01T00:12:02.508134,0.5,2001,1.0,Unknown,0.0,Unknown,0.0,911,Base,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,,36000,"{'base_value': 30500, 'year_adjustment': 5500, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T00:12:03.223547'}",,,,Unknown,20.01,2025-09-01T00:12:03.235518,60
94,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CA29963S650760/?referrer_id=autotempest,2025-09-01T00:12:02.486425,2025-09-01T00:12:03.212095,0.875,2003,1.0,Unknown,0.0,"133,403",1.0,911,Carrera,1.0,1.0,Blue,Gray,1.0,1.0,AutoTempest,1.0,0,0,0,,,33500,"{'base_value': 30500, 'year_adjustment': 4500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T00:12:03.228911'}",,,,Unknown,16.689700000000002,2025-09-01T00:12:03.235826,61
58,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.ebay.com/itm/376515195858?hash=item57aa0df3d2%3Ag%3AapkAAeSwev9osh4m&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2025-09-01T00:12:02.482528,2025-09-01T00:12:03.172469,1.0,2003,1.0,"$6,100",1.0,"96,930",1.0,911,TURBO,1.0,1.0,Silver,Black,1.0,1.0,AutoTempest,1.0,0,0,0,,,33700,"{'base_value': 30500, 'year_adjustment': 4500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 200, 'calculation_timestamp': '2025-09-01T00:12:03.224235'}",6100,27600,81.89910979228486,Excellent Deal,2780.337,2025-09-01T00:12:03.235700,1
55,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/481796d6-14d6-40f8-a65e-3f39d6181200/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T00:12:02.481596,2025-09-01T00:12:03.163769,0.875,2001,1.0,"$12,750",1.0,0,1.0,911,Carrera,1.0,1.0,Polar Silver Metallic,Unknown,1.0,0.0,AutoTempest,1.0,0,2200,10475,"performance, exterior, technology, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",36000,"{'base_value': 30500, 'year_adjustment': 5500, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T00:12:03.224201'}",12750,23250,64.58333333333334,Excellent Deal,2355.01,2025-09-01T00:12:03.235689,2
44,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/77e9b6b8-ce1a-43f2-8a05-ffeb1117ea63/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T00:12:02.480730,2025-09-01T00:12:03.011291,1.0,2000,1.0,"$14,850",1.0,"142,721",1.0,911,Carrera,1.0,1.0,Silver,Burgundy,1.0,1.0,AutoTempest,1.0,0,1950,6885,"performance, exterior, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Seats / Adaptive Sport Seats",35000,"{'base_value': 30500, 'year_adjustment': 6000, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T00:12:03.224080'}",14850,20150,57.57142857142858,Excellent Deal,2030.7279,2025-09-01T00:12:03.235652,4
63,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.ebay.com/itm/205671640122?hash=item2fe2fc2c3a%3Ag%3ALFwAAeSwOo5onfJ-&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2025-09-01T00:12:02.483315,2025-09-01T00:12:03.178164,0.75,2000,1.0,"$14,858",1.0,"106,678",1.0,911,Carrera,1.0,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,0,,,35000,"{'base_value': 30500, 'year_adjustment': 6000, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T00:12:03.224286'}",14858,20142,57.54857142857143,Excellent Deal,2033.5322,2025-09-01T00:12:03.235716,3
7,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/397e250e-4f07-4031-a543-b31eb66487ea/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T00:12:02.476985,2025-09-01T00:12:02.525491,1.0,1999,1.0,"$16,890",1.0,"144,838",1.0,911,Carrera,1.0,1.0,Blue,Black,1.0,1.0,AutoTempest,1.0,0,2250,8235,"performance, exterior, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound",35700,"{'base_value': 30500, 'year_adjustment': 6500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 200, 'calculation_timestamp': '2025-09-01T00:12:03.223574'}",16890,18810,52.689075630252105,Excellent Deal,1896.5062,2025-09-01T00:12:03.235527,5
