listing_id,source_url,listing_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model_trim,model_trim_confidence,exterior_color,interior_color,exterior_color_confidence,interior_color_confidence,source,source_confidence,total_options,total_options_value,options_categories,options_list,fair_value_usd,fair_value_calculation,asking_price_usd,deal_delta_usd,deal_percentage,deal_quality,composite_score,ranking_timestamp,rank
5,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/d58b0ed4-43af-43c6-aec4-1fec0d7b3dfc/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T13:37:14.399528,2025-08-26T13:37:14.478421,1.0,2011,1.0,"$41,998",1.0,"43,076",1.0,Boxster s,1.0,Gray,Black,1.0,1.0,AutoTempest,1.0,0,2200,"technology, performance, exterior","BOSE Surround Sound, Limited Slip Differential (LSD), PCM w/ Navigation, 18–19"" Upgraded Wheels",31200,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 200, 'calculation_timestamp': '2025-08-26T13:37:14.647115'}",41998,10798,34.60897435897436,Overpriced,1105.6023999999998,2025-08-26T13:37:14.654922,1
3,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/9911a576-8804-4fd7-a62d-61ca63768259/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T13:37:14.399004,2025-08-26T13:37:14.450142,1.0,2009,1.0,"$39,999",1.0,"14,832",1.0,Boxster s,1.0,Silver,Black,1.0,1.0,AutoTempest,1.0,0,1400,"exterior, technology, seating","Bi-Xenon Headlights with Dynamic Cornering, BOSE Surround Sound, Heated Seats, PCM w/ Navigation, 18–19"" Upgraded Wheels",33200,"{'base_value': 30500, 'year_adjustment': 1500, 'model_premium': 0, 'mileage_adjustment': 1000, 'color_premium': 200, 'calculation_timestamp': '2025-08-26T13:37:14.646514'}",39999,6799,20.4789156626506,Overpriced,708.5068000000001,2025-08-26T13:37:14.654915,2
9,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/c2112af7-00a0-49bf-9278-d9e6f627d93e/?aff=atempst&utm_campaign=atempst&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T13:37:14.400454,2025-08-26T13:37:14.543358,1.0,2011,1.0,"$32,999",1.0,"80,000",1.0,Boxster s,1.0,Silver,Black,1.0,1.0,AutoTempest,1.0,0,0,,,29700,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 200, 'calculation_timestamp': '2025-08-26T13:37:14.648598'}",32999,3299,11.107744107744107,Overpriced,352.01000000000005,2025-08-26T13:37:14.654935,3
14,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CB2A87AS730095/?referrer_id=autotempest,2025-08-26T13:37:14.401900,2025-08-26T13:37:14.609076,1.0,2010,1.0,"$33,700",1.0,"39,587",1.0,Boxster Base,1.0,Gt Silver Metallic,Black,1.0,1.0,AutoTempest,1.0,0,0,,,31700,"{'base_value': 30500, 'year_adjustment': 1000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 200, 'calculation_timestamp': '2025-08-26T13:37:14.650363'}",33700,2000,6.309148264984227,Overpriced,226.1413,2025-08-26T13:37:14.654952,4
13,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CA2A84AS710096/?referrer_id=autotempest,2025-08-26T13:37:14.401576,2025-08-26T13:37:14.594125,0.7142857142857143,2010,1.0,"$33,995",1.0,"8,450",1.0,Boxster Base,1.0,Unknown,Unknown,1.0,1.0,AutoTempest,1.0,0,150,seating,Heated Seats,32500,"{'base_value': 30500, 'year_adjustment': 1000, 'model_premium': 0, 'mileage_adjustment': 1000, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T13:37:14.650012'}",33995,1495,4.6,Overpriced,178.755,2025-08-26T13:37:14.654949,5
4,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/bef1535e-4d4d-481e-8ca8-4e69dd69d141/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T13:37:14.399252,2025-08-26T13:37:14.463209,1.0,2011,1.0,"$30,800",1.0,"76,250",1.0,Boxster s,1.0,Gray,Gray,1.0,1.0,AutoTempest,1.0,0,1400,"exterior, technology, seating","Bi-Xenon Headlights with Dynamic Cornering, BOSE Surround Sound, Heated Seats, PCM w/ Navigation, 18–19"" Upgraded Wheels",29500,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T13:37:14.646790'}",30800,1300,4.406779661016949,Overpriced,152.485,2025-08-26T13:37:14.654919,6
1,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/dccb8902-a155-44e3-bf33-6f563cb8bb77/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T13:37:14.397727,2025-08-26T13:37:14.419159,1.0,2012,1.0,"$29,900",1.0,"86,375",1.0,Boxster s,1.0,TAN interior color,Gasoline fuel type,1.0,1.0,AutoTempest,1.0,0,2800,"exterior, technology, seating, performance, convenience","Bi-Xenon Headlights with Dynamic Cornering, BOSE Surround Sound, Heated Seats, Limited Slip Differential (LSD), Park Assist, PCM w/ Navigation, 18–19"" Upgraded Wheels",29000,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T13:37:14.645574'}",29900,900,3.103448275862069,Fair Price,111.4825,2025-08-26T13:37:14.654901,7
11,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CB2A85BS730081/?referrer_id=autotempest,2025-08-26T13:37:14.401022,2025-08-26T13:37:14.569986,1.0,2011,1.0,"$30,190",1.0,"100,159",1.0,Boxster Base,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,0,,,30000,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 500, 'calculation_timestamp': '2025-08-26T13:37:14.649371'}",30190,190,0.6333333333333333,Fair Price,39.0941,2025-08-26T13:37:14.654942,8
16,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.autotempest.com//www.autotempest.com/details/vast-7419201592332622812,2025-08-26T13:37:14.402468,2025-08-26T13:37:14.635356,0.2857142857142857,2025,1.0,Unknown,0.0,Unknown,0.0,Unknown,0.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,300,technology,PCM w/ Navigation,24000,"{'base_value': 30500, 'year_adjustment': -6500, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T13:37:14.650876'}",,,,Unknown,20.25,2025-08-26T13:37:14.654958,9
15,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CB298X9U730175/?referrer_id=autotempest,2025-08-26T13:37:14.402195,2025-08-26T13:37:14.622451,1.0,2009,1.0,"$29,990",1.0,"58,616",1.0,Boxster Base,1.0,Aqua Blue Metallic,Black,1.0,1.0,AutoTempest,1.0,0,0,,,31700,"{'base_value': 30500, 'year_adjustment': 1500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-08-26T13:37:14.650705'}",29990,-1710,-5.394321766561514,Excellent Deal,-146.7716,2025-08-26T13:37:14.654955,10
12,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0CA29899U710776/?referrer_id=autotempest,2025-08-26T13:37:14.401284,2025-08-26T13:37:14.580738,1.0,2009,1.0,"$27,990",1.0,"59,236",1.0,Boxster Base,1.0,Midnight Blue Metallic,Black,1.0,1.0,AutoTempest,1.0,0,800,"exterior, seating","Bi-Xenon Headlights with Dynamic Cornering, Heated Seats, 18–19"" Upgraded Wheels",31700,"{'base_value': 30500, 'year_adjustment': 1500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-08-26T13:37:14.649719'}",27990,-3710,-11.703470031545741,Excellent Deal,-346.83360000000005,2025-08-26T13:37:14.654945,11
6,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/00913ac2-c363-4c68-be09-13193ee12b64/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-26T13:37:14.399843,2025-08-26T13:37:14.495001,1.0,2010,1.0,"$26,992",1.0,"33,497",1.0,Boxster s,1.0,Silver,Black,1.0,1.0,AutoTempest,1.0,0,550,"seating, exterior","Heated Seats, 18–19"" Upgraded Wheels",31700,"{'base_value': 30500, 'year_adjustment': 1000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 200, 'calculation_timestamp': '2025-08-26T13:37:14.647523'}",26992,-4708,-14.85173501577287,Excellent Deal,-444.0497,2025-08-26T13:37:14.654926,12
