listing_id,source_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model_trim,model_trim_confidence,exterior_color,interior_color,exterior_color_confidence,interior_color_confidence,source,source_confidence,total_options,total_options_value,options_categories,options_list
1,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:23:30.260912,2025-08-25T22:23:30.276943,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
2,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:23:30.261354,2025-08-25T22:23:30.277896,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
3,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:23:30.261602,2025-08-25T22:23:30.278794,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
4,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:23:30.261815,2025-08-25T22:23:30.279681,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
5,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:23:30.262030,2025-08-25T22:23:30.280565,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
6,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:23:30.262299,2025-08-25T22:23:30.281441,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
7,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:23:30.262529,2025-08-25T22:23:30.282321,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
8,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:23:30.262737,2025-08-25T22:23:30.283356,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
9,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:23:30.262945,2025-08-25T22:23:30.284292,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
10,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:23:30.263195,2025-08-25T22:23:30.285207,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
