listing_id,listing_url,source_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model_trim,model_trim_confidence,exterior_color,interior_color,exterior_color_confidence,interior_color_confidence,source,source_confidence,total_options,total_options_value,options_categories,options_list
1,https://www.cars.com/vehicledetail/dccb8902-a155-44e3-bf33-6f563cb8bb77/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:52:56.969190,2025-08-25T22:52:56.985655,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,7,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
2,https://www.cars.com/vehicledetail/9887f1df-72af-47b2-b670-d9ef90a28773/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:52:56.969607,2025-08-25T22:52:56.986684,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,7,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
3,https://www.cars.com/vehicledetail/9911a576-8804-4fd7-a62d-61ca63768259/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:52:56.969855,2025-08-25T22:52:56.987694,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,7,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
4,https://www.cars.com/vehicledetail/bef1535e-4d4d-481e-8ca8-4e69dd69d141/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:52:56.970066,2025-08-25T22:52:56.988893,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,7,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
5,https://www.cars.com/vehicledetail/d58b0ed4-43af-43c6-aec4-1fec0d7b3dfc/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:52:56.970283,2025-08-25T22:52:56.989876,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,7,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
6,https://www.cars.com/vehicledetail/00913ac2-c363-4c68-be09-13193ee12b64/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:52:56.970493,2025-08-25T22:52:56.990818,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,7,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
7,https://www.cars.com/vehicledetail/571de632-1f0c-428d-808c-a1e93e992e13/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:52:56.970701,2025-08-25T22:52:56.991751,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,7,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
8,https://www.cars.com/vehicledetail/5478a97d-5d9b-4b8c-9063-147503a1631e/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:52:56.970922,2025-08-25T22:52:56.992684,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,7,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
9,https://www.cars.com/vehicledetail/c2112af7-00a0-49bf-9278-d9e6f627d93e/?aff=atempst&utm_campaign=atempst&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:52:56.971259,2025-08-25T22:52:56.993603,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,7,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
10,https://www.ebay.com/itm/306463169067?hash=item475aa0da2b%3Ag%3ABv4AAOSwQS9oWly0&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:52:56.971540,2025-08-25T22:52:56.994537,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,7,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
