listing_id,source_url,listing_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model_trim,model_trim_confidence,exterior_color,interior_color,exterior_color_confidence,interior_color_confidence,source,source_confidence,total_options,total_options_value,total_options_msrp,options_categories,options_list
1,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/1e0d4384-98c4-4bbb-9147-31251e4c610a/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-31T13:27:30.744136,2025-08-31T13:27:30.775634,1.0,2010,1.0,"$24,998",1.0,"105,449",1.0,Cayman Base,1.0,White,Terracotta,1.0,1.0,AutoTempest,1.0,0,850,5265,"exterior, technology, seating","18–19"" Upgraded Wheels, PCM w/ Navigation, Heated Seats"
2,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/72e7fa75-5290-4ef3-971d-f53dbe2507cc/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-31T13:27:30.745119,2025-08-31T13:27:30.781471,1.0,2009,1.0,"$38,887",1.0,"68,710",1.0,Cayman S,1.0,Basalt Black Metallic,Black,1.0,1.0,AutoTempest,1.0,0,1600,8150,"exterior, seating, technology","Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Seats / Adaptive Sport Seats, PCM w/ Navigation, Heated Seats"
3,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/20c1de27-55a3-489e-95bd-eca9aae7ff0b/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-31T13:27:30.745234,2025-08-31T13:27:30.789790,1.0,2010,1.0,"$29,999",1.0,"52,992",1.0,Cayman Base,1.0,White,Tan,1.0,1.0,AutoTempest,1.0,0,1600,5860,"performance, exterior, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Heated Seats"
4,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/e976df74-a8de-4fd2-b91f-c9d0568ef9ac/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-31T13:27:30.745323,2025-08-31T13:27:30.804428,1.0,2012,1.0,"$42,997",1.0,"76,885",1.0,Cayman Black Edition,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,3200,11435,"performance, exterior, technology, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Chrono Package Plus, BOSE Surround Sound, PCM w/ Navigation, Heated Seats"
5,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/7d2807e2-6030-4e66-a677-f3206e5649f1/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-31T13:27:30.745408,2025-08-31T13:27:30.815547,1.0,2009,1.0,"$36,981",1.0,"35,027",1.0,Cayman Base,1.0,Arctic Silver Metallic,Black,1.0,1.0,AutoTempest,1.0,0,1150,4385,"exterior, seating","Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Seats / Adaptive Sport Seats"
6,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/4666f3db-52a0-48cc-a64f-23f3b4e386e8/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-31T13:27:30.745493,2025-08-31T13:27:30.822702,1.0,2009,1.0,"$31,967",1.0,"111,502",1.0,Cayman S,1.0,Malachite Green Metallic,Sand Beige,1.0,1.0,AutoTempest,1.0,0,2250,10150,"performance, exterior, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Seats / Adaptive Sport Seats, PCM w/ Navigation"
7,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/8f4b448f-0a97-41e9-8628-515fda6e1d0e/?aff=atempst&utm_campaign=atempst&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-31T13:27:30.745576,2025-08-31T13:27:30.838564,1.0,2009,1.0,"$37,995",1.0,"67,530",1.0,Cayman S,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,1100,5765,"performance, technology","Sport Exhaust (PSE), PCM w/ Navigation"
8,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/95ccdfb3-fefa-460a-8116-b971133af8c3/?aff=atempst&utm_campaign=atempst&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-31T13:27:30.745657,2025-08-31T13:27:30.840041,1.0,2009,1.0,"$32,987",1.0,"92,500",1.0,Cayman S,1.0,Silver,Beige,1.0,1.0,AutoTempest,1.0,0,1950,7085,"exterior, performance, technology","Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Chrono Package Plus, PCM w/ Navigation"
9,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.ebay.com/itm/267385128853?hash=item3e41654795%3Ag%3A6mAAAeSwpWhoskXe&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2025-08-31T13:27:30.745741,2025-08-31T13:27:30.842005,1.0,2011,1.0,"$46,900",1.0,"56,500",1.0,Cayman Base,1.0,Brown,Tan,1.0,1.0,AutoTempest,1.0,0,0,0,,
10,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.ebay.com/itm/376487964262?hash=item57a86e6e66%3Ag%3AkE4AAeSw8RloegD7&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2025-08-31T13:27:30.745866,2025-08-31T13:27:30.843067,1.0,2010,1.0,"$30,900",1.0,"61,281",1.0,Cayman Base,1.0,Gray,Sand Beige,1.0,1.0,AutoTempest,1.0,0,0,0,,
