listing_id,source_url,listing_url,canonical_url,vin,is_new,first_seen_at,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model,trim,model_confidence,trim_confidence,exterior,interior,exterior_confidence,interior_confidence,source,source_confidence,total_options,total_options_value,total_options_msrp,options_categories,options_list,rank,asking_price_usd
106,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/7c19686a-0db0-45bc-b942-5be2f6c1ad32/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/7c19686a-0db0-45bc-b942-5be2f6c1ad32/,WP0CB2A87DS130360,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.579033,2025-10-27T15:03:55.933213,1.0,2013,1.0,"$46,887",1.0,"43,651",1.0,Boxster,S,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,12,,16828,"performance, exterior, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Chrono Package Plus, Limited Slip Differential (LSD), Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",1,"$46,887"
8,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/97c819f7-6529-44ef-883d-8f3bb146c356/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/97c819f7-6529-44ef-883d-8f3bb146c356/,WP0AB2A83EK192718,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.384764,2025-10-27T15:03:54.754056,1.0,2014,1.0,"$44,988",1.0,"85,572",1.0,Cayman,S,1.0,1.0,Agate Gray Metallic,Amber Orange,1.0,1.0,AutoTempest,1.0,11,,15938,"performance, exterior, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Chrono Package Plus, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",2,"$44,988"
16,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/98705a37-105b-408e-9133-fc213695a206/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/98705a37-105b-408e-9133-fc213695a206/,WP0AB2A86EK192065,False,2025-10-25T09:49:55.023246,2025-10-27T15:03:54.401411,2025-10-27T15:03:54.850804,1.0,2014,1.0,"$52,985",1.0,"38,025",1.0,Cayman,S,1.0,1.0,Cognac Metallic,Luxor Beige,1.0,1.0,AutoTempest,1.0,11,,15938,"performance, exterior, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Chrono Package Plus, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",3,"$52,985"
26,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/0f1d7107-e70e-4fb5-9542-50ecd15abff4/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/0f1d7107-e70e-4fb5-9542-50ecd15abff4/,WP0AB2A86EK191238,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.423963,2025-10-27T15:03:54.997788,1.0,2014,1.0,"$52,900",1.0,"28,228",1.0,Cayman,S,1.0,1.0,White,Black,1.0,1.0,AutoTempest,1.0,10,,15444,"performance, exterior, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Chrono Package Plus, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",4,"$52,900"
100,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/73c7bc77-ef08-4b34-96a3-9184c06654dd/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/73c7bc77-ef08-4b34-96a3-9184c06654dd/,WP0CB2A85DS130356,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.566057,2025-10-27T15:03:55.832700,1.0,2013,1.0,"$46,995",1.0,"53,126",1.0,Boxster,S,1.0,1.0,Black,Agate Gray,1.0,1.0,AutoTempest,1.0,10,,14978,"performance, exterior, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",5,"$46,995"
101,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/80663efe-e4fb-40aa-9b7a-124ac0041ccc/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/80663efe-e4fb-40aa-9b7a-124ac0041ccc/,WP0CB2A89ES141068,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.568033,2025-10-27T15:03:55.848857,1.0,2014,1.0,"$28,990",1.0,"107,229",1.0,Boxster,S,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,10,,14978,"performance, exterior, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",6,"$28,990"
99,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/ceb5aaee-4dda-432b-8cf2-b63358b09ea5/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/ceb5aaee-4dda-432b-8cf2-b63358b09ea5/,WP0CB2A81DS132587,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.564075,2025-10-27T15:03:55.817524,1.0,2013,1.0,"$52,998",1.0,"41,721",1.0,Boxster,S,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,11,,14838,"performance, exterior, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Chrono Package Plus, Limited Slip Differential (LSD), Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",7,"$52,998"
114,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/a9893aa9-f7ab-47e1-acd0-b25864214fc9/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/a9893aa9-f7ab-47e1-acd0-b25864214fc9/,WP0CB2A8XDS130532,False,2025-10-26T11:50:39.352645,2025-10-27T15:03:54.596161,2025-10-27T15:03:56.080286,1.0,2013,1.0,"$53,477",1.0,"28,555",1.0,Boxster,S,1.0,1.0,Red,Tan,1.0,1.0,AutoTempest,1.0,9,,14484,"performance, exterior, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",8,"$53,477"
19,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/6109d049-5cab-4784-9ada-a4ab03b43e15/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/6109d049-5cab-4784-9ada-a4ab03b43e15/,WP0AB2A87EK193421,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.408487,2025-10-27T15:03:54.886822,1.0,2014,1.0,"$59,880",1.0,"27,345",1.0,Cayman,S,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,11,,14478,"performance, exterior, convenience, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Chrono Package Plus, Park Assist, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",9,"$59,880"
88,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/e8ea8640-1adb-4640-a4b8-515e37abe256/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/e8ea8640-1adb-4640-a4b8-515e37abe256/,WP0CB2A88DS133557,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.543608,2025-10-27T15:03:55.641560,1.0,2013,1.0,"$37,900",1.0,"71,518",1.0,Boxster,S,1.0,1.0,Aqua Blue Metallic,Espresso,1.0,1.0,AutoTempest,1.0,11,,14478,"performance, exterior, convenience, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Chrono Package Plus, Park Assist, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",10,"$37,900"
