scraping_id,source_url,scraping_status,validation_status,validation_score,scraping_timestamp
2,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:56:44.762418
1,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:56:45.135940
3,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:56:50.514093
4,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:56:50.556468
5,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:56:55.508613
6,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:56:55.559272
7,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:57:00.613651
9,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:57:04.755231
10,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:57:08.136906
11,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:57:11.800643
8,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:57:14.855636
12,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:57:15.534410
13,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:57:19.511368
14,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:57:19.922153
15,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:57:23.507534
